Type	Software	Step	SampleID	Time	RSS
Microbiome	CheckM2	MAGEvaluation	SimulatedData1	17.02951667	9.69
Microbiome	CheckM2	MAGEvaluation	SimulatedData2	18.88298333	9.8
Microbiome	CheckM2	MAGEvaluation	SimulatedData3	17.39135	9.76
Microbiome	prodigal	GenePrediction	SimulatedData1	4.9425	0.058691406
Microbiome	prodigal	GenePrediction	SimulatedData2	4.88645	0.051289063
Microbiome	prodigal	GenePrediction	SimulatedData3	4.984283333	0.052783203
Microbiome	CD-HIT	GeneCluster	SimulatedData1	300.7682667	5.15
Microbiome	CD-HIT	GeneCluster	SimulatedData2	298.4559167	5.14
Microbiome	CD-HIT	GeneCluster	SimulatedData3	294.3468167	5.14
Microbiome	salmon	Genequantitfy	SimulatedData1	19.93353333	0.684238281
Microbiome	salmon	Genequantitfy	SimulatedData2	19.682	0.684804688
Microbiome	salmon	Genequantitfy	SimulatedData3	19.63598333	0.686474609
Microbiome	emapper	GeneAnnotation	SimulatedData1	86.41043333	5.57
Microbiome	emapper	GeneAnnotation	SimulatedData2	86.3628	5.58
Microbiome	emapper	GeneAnnotation	SimulatedData3	86.61078333	5.55
Raw	Kraken2	SpeciesAnnotation	SimulatedData1	29.2268	148.3
Raw	Kraken2	SpeciesAnnotation	SimulatedData2	28.97411667	148.34
Raw	Kraken2	SpeciesAnnotation	SimulatedData3	28.82563333	148.35
Raw	HUMAnN3	FunctionAnnotation	SimulatedData1	2386.876517	26.76
Raw	HUMAnN3	FunctionAnnotation	SimulatedData2	2387.51555	26.63
Raw	HUMAnN3	FunctionAnnotation	SimulatedData3	2299.472883	26.79
Raw	Megahit	Assembly	SimulatedData1	2066.9794	10.47
Raw	Megahit	Assembly	SimulatedData2	2233.994133	9.2
Raw	Megahit	Assembly	SimulatedData3	2269.8448	9.14
Raw	Metawrap	Binning	SimulatedData1	692.0109667	68.63
Raw	Metawrap	Binning	SimulatedData2	879.59125	68.62
Raw	Metawrap	Binning	SimulatedData3	926.31395	68.63
Raw	drep	RemoveRedundant	SimulatedData1	16.86596667	205.84
Raw	drep	RemoveRedundant	SimulatedData2	18.3176	204.33
Raw	drep	RemoveRedundant	SimulatedData3	14.99153333	204.32
Raw	gtdbtk	MAGAnnotation	SimulatedData1	32.57703333	366.6
Raw	gtdbtk	MAGAnnotation	SimulatedData2	34.44473333	366.94
Raw	gtdbtk	MAGAnnotation	SimulatedData3	31.66443333	364.76
Raw	CheckM2	MAGEvaluation	SimulatedData1	19.11325	9.69
Raw	CheckM2	MAGEvaluation	SimulatedData2	18.6083	9.7
Raw	CheckM2	MAGEvaluation	SimulatedData3	18.16055	9.59
Raw	prodigal	GenePrediction	SimulatedData1	19.23211667	0.052822266
Raw	prodigal	GenePrediction	SimulatedData2	29.59893333	0.054619141
Raw	prodigal	GenePrediction	SimulatedData3	27.73798333	0.054765625
Raw	CD-HIT	GeneCluster	SimulatedData1	6.400266667	1.37
Raw	CD-HIT	GeneCluster	SimulatedData2	13.03555	1.86
Raw	CD-HIT	GeneCluster	SimulatedData3	11.60156667	1.78
Raw	salmon	Genequantitfy	SimulatedData1	189.9693333	1.35
Raw	salmon	Genequantitfy	SimulatedData2	312.9070667	1.74
Raw	salmon	Genequantitfy	SimulatedData3	542.5774333	1.62
Raw	emapper	GeneAnnotation	SimulatedData1	269.5775333	7.07
Raw	emapper	GeneAnnotation	SimulatedData2	341.6296833	7.15
Raw	emapper	GeneAnnotation	SimulatedData3	280.38045	7.15
